City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Avera,US,33.194,-82.5271,72.55,72,6,9.01,clear sky
324,Dalvik,IS,65.9702,-18.5286,55.33,63,46,2.59,scattered clouds
325,Sapulpa,US,35.9987,-96.1142,78.04,83,0,6.91,clear sky
326,Rockhampton,AU,-23.3833,150.5,66.09,82,0,0.0,clear sky
327,Lengshuitan,CN,26.4111,111.5956,86.47,45,52,6.76,broken clouds
328,Cockburn Town,TC,21.4612,-71.1419,85.96,62,40,11.5,scattered clouds
329,Veinticinco De Mayo,AR,-35.4323,-60.1727,69.98,59,100,4.0,overcast clouds
330,Muravlenko,RU,63.7898,74.523,46.69,91,100,20.65,overcast clouds
331,Matamoros,MX,25.5333,-103.25,73.51,64,75,5.75,broken clouds
332,Gangapur,IN,26.4833,76.7167,87.69,44,1,6.46,clear sky
333,Sosnovo-Ozerskoye,RU,52.5249,111.5418,33.94,64,0,4.54,clear sky
334,Bubaque,GW,11.2833,-15.8333,79.48,76,100,2.59,moderate rain
335,Selishche,RU,56.8879,33.2691,60.03,50,98,4.25,overcast clouds
336,Faanui,PF,-16.4833,-151.75,78.4,72,26,18.32,light rain
337,San Patricio,US,28.017,-97.5169,85.86,70,2,6.58,clear sky
338,Merrill,US,45.1805,-89.6835,66.38,98,100,5.75,overcast clouds
339,Laguna,US,38.421,-121.4238,62.74,77,40,10.36,scattered clouds
340,Luwuk,ID,-0.9516,122.7875,78.48,84,97,2.98,overcast clouds
341,Dicabisagan,PH,17.0818,122.4157,78.67,89,99,3.33,light rain
342,Murgab,TM,37.4966,61.9714,89.47,25,0,4.61,clear sky
343,Inverell,AU,-29.7833,151.1167,51.15,85,32,1.01,scattered clouds
344,Dingle,PH,10.9995,122.6711,77.05,88,92,6.24,very heavy rain
345,Ahipara,NZ,-35.1667,173.1667,59.18,78,100,14.56,overcast clouds
