City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
235,Villa Sandino,NI,2022-09-10 22:37:02,12.0483,-84.9936,78.17,88,81,5.88
236,Weligama,LK,2022-09-10 22:37:03,5.9667,80.4167,76.84,88,90,11.34
237,Bireun,ID,2022-09-10 22:37:04,5.203,96.7009,77.83,80,98,3.6
238,Nagato,JP,2022-09-10 22:37:04,34.3833,131.2,77.59,82,18,2.37
239,San-Pedro,CI,2022-09-10 22:37:05,4.7485,-6.6363,73.69,92,17,6.29
240,Laurel,US,2022-09-10 22:37:05,39.0993,-76.8483,79.88,72,0,4.61
241,Potosi,BO,2022-09-10 22:37:06,-19.5836,-65.7531,51.89,39,4,3.87
242,Pisco,PE,2022-09-10 22:37:06,-13.7,-76.2167,64.45,72,0,18.41
243,Garh Maharaja,PK,2022-09-10 22:37:07,30.8339,71.9053,85.8,55,0,8.16
244,The Valley,AI,2022-09-10 22:37:07,18.217,-63.0578,85.86,79,20,10.36
245,Bosaso,SO,2022-09-10 22:37:07,11.2842,49.1816,87.82,65,87,3.65
246,Nome,US,2022-09-10 22:35:31,64.5011,-165.4064,46.47,71,100,12.66
247,Aksarka,RU,2022-09-10 22:33:17,66.5606,67.7975,37.4,87,98,3.85
248,Naantali,FI,2022-09-10 22:37:08,60.4674,22.0243,55.85,81,50,1.14
249,Clyde River,CA,2022-09-10 22:37:09,70.4692,-68.5914,39.43,93,100,5.75
250,Morgan Hill,US,2022-09-10 22:37:07,37.1305,-121.6544,82.18,55,0,6.91
251,Bourail,NC,2022-09-10 22:37:09,-21.5667,165.4833,78.84,70,1,1.28
252,Chuy,UY,2022-09-10 22:33:30,-33.6971,-53.4616,45.39,77,0,8.39
253,Hoi An,VN,2022-09-10 22:37:10,15.8794,108.335,76.96,88,33,5.19
254,Krasnoarmeysk,RU,2022-09-10 22:37:11,51.0239,45.6969,45.01,65,18,4.74
255,Champerico,GT,2022-09-10 22:37:11,14.3,-91.9167,79.34,80,93,6.44
256,Pacific Grove,US,2022-09-10 22:33:19,36.6177,-121.9166,78.35,78,20,6.91
257,Bell Ville,AR,2022-09-10 22:37:12,-32.6259,-62.6887,56.66,24,0,7.85
258,Saint-Francois,FR,2022-09-10 22:37:12,46.4154,3.9054,52.68,93,0,3.44
259,Brae,GB,2022-09-10 22:37:13,60.3964,-1.353,49.96,83,48,2.04
260,Sao Miguel Do Araguaia,BR,2022-09-10 22:37:13,-13.275,-50.1628,86.2,19,4,0.56
261,Chimore,BO,2022-09-10 22:37:14,-16.9833,-65.1333,75.6,34,5,1.95
262,Puerto Ayora,EC,2022-09-10 22:37:14,-0.7393,-90.3518,73.36,88,84,5.01
263,Ulundi,ZA,2022-09-10 22:37:15,-28.3352,31.4162,67.3,55,0,4.45
264,Chapais,CA,2022-09-10 22:32:47,49.7834,-74.8492,76.78,59,2,4.05
265,Honiara,SB,2022-09-10 22:37:15,-9.4333,159.95,85.64,64,7,7.02
266,Vila,PT,2022-09-10 22:37:16,42.0304,-8.1588,57.7,83,0,2.77
267,Tuatapere,NZ,2022-09-10 22:37:16,-46.1333,167.6833,51.03,61,2,3.76
268,Poum,NC,2022-09-10 22:37:17,-20.2333,164.0167,76.89,79,0,7.9
269,Fairbanks,US,2022-09-10 22:32:42,64.8378,-147.7164,52.14,79,100,13.8
270,Moyale,KE,2022-09-10 22:37:17,3.5167,39.0584,69.6,68,97,17.36
271,Harper,LR,2022-09-10 22:37:18,4.375,-7.7169,75.45,84,43,9.57
272,Puertollano,ES,2022-09-10 22:37:18,38.6871,-4.1073,81.19,36,16,4.85
273,Kristiinankaupunki,FI,2022-09-10 22:37:18,62.2743,21.376,47.07,80,23,6.11
274,Tasiilaq,GL,2022-09-10 22:37:19,65.6145,-37.6368,41.16,79,8,1.83
275,Shenjiamen,CN,2022-09-10 22:37:19,29.9576,122.298,76.59,80,22,8.7
276,Maunabo,PR,2022-09-10 22:38:21,18.0072,-65.8993,84.02,86,96,7.87
277,Kavieng,PG,2022-09-10 22:38:22,-2.5744,150.7967,82.29,77,40,13.69
278,Lompoc,US,2022-09-10 22:38:22,34.6391,-120.4579,85.59,67,40,9.22
279,Yar-Sale,RU,2022-09-10 22:38:23,66.8333,70.8333,39.97,83,100,5.19
280,Mogapi,BW,2022-09-10 22:38:23,-22.323,27.8349,66.79,31,0,3.13
281,Segovia,ES,2022-09-10 22:38:23,41.1667,-4.0,74.12,42,44,7.25
282,Manzil Salim,TN,2022-09-10 22:38:24,35.8567,8.4765,78.19,48,89,1.83
283,Gat,IL,2022-09-10 22:38:24,31.61,34.7642,76.41,72,0,2.59
284,Boa Vista,BR,2022-09-10 22:38:25,2.8197,-60.6733,85.98,64,40,10.36
285,Franklin Park,US,2022-09-10 22:38:25,41.9353,-87.8656,85.89,46,75,9.22
286,Hailar,CN,2022-09-10 22:38:26,49.2,119.7,63.25,39,70,4.05
287,Taksimo,RU,2022-09-10 22:38:27,56.3444,114.8794,42.98,74,18,0.27
288,Aklavik,CA,2022-09-10 22:38:27,68.2191,-135.0107,44.29,96,100,5.77
289,Belmonte,BR,2022-09-10 22:38:28,-15.8631,-38.8828,70.5,71,2,7.38
290,Santiago Del Estero,AR,2022-09-10 22:38:28,-27.7951,-64.2615,63.79,21,1,7.52
291,Nieuw Amsterdam,SR,2022-09-10 22:38:28,5.8833,-55.0833,80.62,86,40,2.3
292,Solnechnyy,RU,2022-09-10 22:38:29,50.7214,136.6319,64.87,72,14,4.5
